pgmigrate_success 13153896
pgmigrate_fail 69287
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
pgmigrate_fail_dst_node_fail 239612
pgmigrate_fail_numa_isolate_fail 239956
pgmigrate_fail_nomem_fail 106
pgmigrate_fail_refcount_fail 1953
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       1076735596 kB
MemFree:        1055601444 kB
MemAvailable:   1053579704 kB
Buffers:            6456 kB
Cached:           405332 kB
SwapCached:           40 kB
Active:            19996 kB
Inactive:         995128 kB
Active(anon):       6916 kB
Inactive(anon):   603100 kB
Active(file):      13080 kB
Inactive(file):   392028 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2095868 kB
Dirty:                68 kB
Writeback:             0 kB
AnonPages:        603860 kB
Mapped:           402280 kB
Shmem:              6208 kB
KReclaimable:     188612 kB
Slab:             589912 kB
SReclaimable:     188612 kB
SUnreclaim:       401300 kB
KernelStack:       31504 kB
PageTables:        31264 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    540464944 kB
Committed_AS:    6554988 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      137052 kB
VmallocChunk:          0 kB
Percpu:           146496 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      589288 kB
DirectMap2M:    10381312 kB
DirectMap1G:    1178599424 kB
