pgmigrate_success 1876376
pgmigrate_fail 8698
thp_migration_success 1
thp_migration_fail 0
thp_migration_split 0
pgmigrate_fail_dst_node_fail 28773
pgmigrate_fail_numa_isolate_fail 28833
pgmigrate_fail_nomem_fail 27
pgmigrate_fail_refcount_fail 1111
thp_fault_alloc 1
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       548719204 kB
MemFree:        528598004 kB
MemAvailable:   527635684 kB
Buffers:           62880 kB
Cached:           317344 kB
SwapCached:          364 kB
Active:           128636 kB
Inactive:         820864 kB
Active(anon):      54240 kB
Inactive(anon):   520420 kB
Active(file):      74396 kB
Inactive(file):   300444 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2088444 kB
Dirty:                 8 kB
Writeback:             0 kB
AnonPages:        569328 kB
Mapped:           294496 kB
Shmem:              5292 kB
KReclaimable:     212936 kB
Slab:             599096 kB
SReclaimable:     212936 kB
SUnreclaim:       386160 kB
KernelStack:       33648 kB
PageTables:        30592 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    276456748 kB
Committed_AS:    6624756 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      139156 kB
VmallocChunk:          0 kB
Percpu:           147392 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      688616 kB
DirectMap2M:     8503296 kB
DirectMap1G:    1133510656 kB
