pgmigrate_success 5209
pgmigrate_fail 29
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
pgmigrate_fail_dst_node_fail 0
pgmigrate_fail_numa_isolate_fail 6
pgmigrate_fail_nomem_fail 2
pgmigrate_fail_refcount_fail 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       553859684 kB
MemFree:        533803540 kB
MemAvailable:   532817012 kB
Buffers:            5288 kB
Cached:           420612 kB
SwapCached:            0 kB
Active:            67836 kB
Inactive:         946944 kB
Active(anon):        408 kB
Inactive(anon):   594276 kB
Active(file):      67428 kB
Inactive(file):   352668 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:        588668 kB
Mapped:           417400 kB
Shmem:              6200 kB
KReclaimable:     179988 kB
Slab:             559428 kB
SReclaimable:     179988 kB
SUnreclaim:       379440 kB
KernelStack:       33120 kB
PageTables:        29848 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    279026988 kB
Committed_AS:    6477368 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      138588 kB
VmallocChunk:          0 kB
Percpu:           147392 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      567784 kB
DirectMap2M:     9652224 kB
DirectMap1G:    1137704960 kB
