pgmigrate_success 8678234
pgmigrate_fail 3029
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
pgmigrate_fail_dst_node_fail 902038
pgmigrate_fail_numa_isolate_fail 902514
pgmigrate_fail_nomem_fail 42
pgmigrate_fail_refcount_fail 5805
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       1108009568 kB
MemFree:        1055528704 kB
MemAvailable:   1084356688 kB
Buffers:           78556 kB
Cached:         32314044 kB
SwapCached:           48 kB
Active:           364684 kB
Inactive:       32626992 kB
Active(anon):        600 kB
Inactive(anon):   604672 kB
Active(file):     364084 kB
Inactive(file): 32022320 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2096124 kB
Dirty:                32 kB
Writeback:             0 kB
AnonPages:        599216 kB
Mapped:           396424 kB
Shmem:              6204 kB
KReclaimable:     294180 kB
Slab:             695164 kB
SReclaimable:     294180 kB
SUnreclaim:       400984 kB
KernelStack:       33472 kB
PageTables:        31716 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    556101932 kB
Committed_AS:    6628688 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      191068 kB
VmallocChunk:          0 kB
Percpu:           146944 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      557544 kB
DirectMap2M:     9555968 kB
DirectMap1G:    1163919360 kB
