pgmigrate_success 20087242
pgmigrate_fail 59700
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
pgmigrate_fail_dst_node_fail 1382893
pgmigrate_fail_numa_isolate_fail 5262195
pgmigrate_fail_nomem_fail 77
pgmigrate_fail_refcount_fail 354
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       553859684 kB
MemFree:        533782192 kB
MemAvailable:   532793112 kB
Buffers:            5804 kB
Cached:           414328 kB
SwapCached:         1348 kB
Active:            17156 kB
Inactive:         994476 kB
Active(anon):       3292 kB
Inactive(anon):   592916 kB
Active(file):      13864 kB
Inactive(file):   401560 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2085884 kB
Dirty:                 4 kB
Writeback:             0 kB
AnonPages:        590864 kB
Mapped:           411496 kB
Shmem:              5220 kB
KReclaimable:     179560 kB
Slab:             560248 kB
SReclaimable:     179560 kB
SUnreclaim:       380688 kB
KernelStack:       31584 kB
PageTables:        30412 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    279026988 kB
Committed_AS:    6677392 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      136988 kB
VmallocChunk:          0 kB
Percpu:           147392 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      569832 kB
DirectMap2M:     9650176 kB
DirectMap1G:    1137704960 kB
