pgmigrate_success 9230878
pgmigrate_fail 9638
thp_migration_success 8539
thp_migration_fail 0
thp_migration_split 0
pgmigrate_fail_dst_node_fail 10449384
pgmigrate_fail_numa_isolate_fail 10452780
pgmigrate_fail_nomem_fail 6769
pgmigrate_fail_refcount_fail 1082
thp_fault_alloc 15548
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 1
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       1096163940 kB
MemFree:        1075604652 kB
MemAvailable:   1073703004 kB
Buffers:          107952 kB
Cached:           730760 kB
SwapCached:            0 kB
Active:           158172 kB
Inactive:        1292852 kB
Active(anon):       1124 kB
Inactive(anon):   617388 kB
Active(file):     157048 kB
Inactive(file):   675464 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:                12 kB
Writeback:             0 kB
AnonPages:        612060 kB
Mapped:           391472 kB
Shmem:              6212 kB
KReclaimable:     231156 kB
Slab:             638796 kB
SReclaimable:     231156 kB
SUnreclaim:       407640 kB
KernelStack:       31920 kB
PageTables:        31600 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    550179116 kB
Committed_AS:    6599740 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      190852 kB
VmallocChunk:          0 kB
Percpu:           147840 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      647656 kB
DirectMap2M:     7917568 kB
DirectMap1G:    1153433600 kB
