pgmigrate_success 4679
pgmigrate_fail 0
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
pgmigrate_fail_dst_node_fail 0
pgmigrate_fail_numa_isolate_fail 0
pgmigrate_fail_nomem_fail 0
pgmigrate_fail_refcount_fail 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       554273380 kB
MemFree:        534258604 kB
MemAvailable:   533256636 kB
Buffers:            6736 kB
Cached:           390844 kB
SwapCached:            0 kB
Active:            72660 kB
Inactive:         912796 kB
Active(anon):        976 kB
Inactive(anon):   592740 kB
Active(file):      71684 kB
Inactive(file):   320056 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:               400 kB
Writeback:             0 kB
AnonPages:        587184 kB
Mapped:           388396 kB
Shmem:              6200 kB
KReclaimable:     182328 kB
Slab:             564312 kB
SReclaimable:     182328 kB
SUnreclaim:       381984 kB
KernelStack:       33440 kB
PageTables:        29844 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    279233836 kB
Committed_AS:    6519852 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      138980 kB
VmallocChunk:          0 kB
Percpu:           146944 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      590312 kB
DirectMap2M:     9000960 kB
DirectMap1G:    1138753536 kB
