pgmigrate_success 22801851
pgmigrate_fail 69073
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
pgmigrate_fail_dst_node_fail 1128844
pgmigrate_fail_numa_isolate_fail 1128928
pgmigrate_fail_nomem_fail 51
pgmigrate_fail_refcount_fail 2824
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       561485416 kB
MemFree:        540738792 kB
MemAvailable:   539728432 kB
Buffers:           55940 kB
Cached:           411524 kB
SwapCached:            0 kB
Active:            29516 kB
Inactive:        1059528 kB
Active(anon):       4052 kB
Inactive(anon):   623728 kB
Active(file):      25464 kB
Inactive(file):   435800 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2096636 kB
Dirty:                12 kB
Writeback:             0 kB
AnonPages:        621648 kB
Mapped:           403676 kB
Shmem:              6208 kB
KReclaimable:     181232 kB
Slab:             563752 kB
SReclaimable:     181232 kB
SUnreclaim:       382520 kB
KernelStack:       32640 kB
PageTables:        32060 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    282839856 kB
Committed_AS:    7195428 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      191868 kB
VmallocChunk:          0 kB
Percpu:           147392 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      560616 kB
DirectMap2M:    10409984 kB
DirectMap1G:    1180696576 kB
