pgmigrate_success 33013880
pgmigrate_fail 128356
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
pgmigrate_fail_dst_node_fail 2439542
pgmigrate_fail_numa_isolate_fail 2439796
pgmigrate_fail_nomem_fail 65
pgmigrate_fail_refcount_fail 3604
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       561485416 kB
MemFree:        540766900 kB
MemAvailable:   539728600 kB
Buffers:            5744 kB
Cached:           406568 kB
SwapCached:            0 kB
Active:            22804 kB
Inactive:        1012316 kB
Active(anon):       1036 kB
Inactive(anon):   628516 kB
Active(file):      21768 kB
Inactive(file):   383800 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2096380 kB
Dirty:                 8 kB
Writeback:             0 kB
AnonPages:        623004 kB
Mapped:           403680 kB
Shmem:              6208 kB
KReclaimable:     181048 kB
Slab:             564040 kB
SReclaimable:     181048 kB
SUnreclaim:       382992 kB
KernelStack:       32656 kB
PageTables:        32268 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    282839856 kB
Committed_AS:    7195680 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      191820 kB
VmallocChunk:          0 kB
Percpu:           147392 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      560616 kB
DirectMap2M:    10409984 kB
DirectMap1G:    1180696576 kB
