pgmigrate_success 26596
pgmigrate_fail 8
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
pgmigrate_fail_dst_node_fail 0
pgmigrate_fail_numa_isolate_fail 1
pgmigrate_fail_nomem_fail 3
pgmigrate_fail_refcount_fail 10
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       561485416 kB
MemFree:        540853348 kB
MemAvailable:   539800636 kB
Buffers:            5436 kB
Cached:           374956 kB
SwapCached:            0 kB
Active:            67976 kB
Inactive:         896512 kB
Active(anon):        404 kB
Inactive(anon):   590448 kB
Active(file):      67572 kB
Inactive(file):   306064 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:                36 kB
Writeback:             0 kB
AnonPages:        584840 kB
Mapped:           372904 kB
Shmem:              6208 kB
KReclaimable:     184148 kB
Slab:             563620 kB
SReclaimable:     184148 kB
SUnreclaim:       379472 kB
KernelStack:       31472 kB
PageTables:        30364 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    282839856 kB
Committed_AS:    6648628 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      190692 kB
VmallocChunk:          0 kB
Percpu:           147392 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      560616 kB
DirectMap2M:    10409984 kB
DirectMap1G:    1180696576 kB
