pgmigrate_success 4515551
pgmigrate_fail 15643
thp_migration_success 1
thp_migration_fail 0
thp_migration_split 0
pgmigrate_fail_dst_node_fail 739662
pgmigrate_fail_numa_isolate_fail 1552194
pgmigrate_fail_nomem_fail 78
pgmigrate_fail_refcount_fail 757
thp_fault_alloc 1
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       554583660 kB
MemFree:        533754556 kB
MemAvailable:   532798424 kB
Buffers:           60892 kB
Cached:           420396 kB
SwapCached:         6276 kB
Active:           192612 kB
Inactive:         855552 kB
Active(anon):     131636 kB
Inactive(anon):   440248 kB
Active(file):      60976 kB
Inactive(file):   415304 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2060796 kB
Dirty:                 8 kB
Writeback:             0 kB
AnonPages:        566104 kB
Mapped:           407176 kB
Shmem:              5068 kB
KReclaimable:     193144 kB
Slab:             577928 kB
SReclaimable:     193144 kB
SUnreclaim:       384784 kB
KernelStack:       32576 kB
PageTables:        30748 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    279388976 kB
Committed_AS:    6545140 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      137220 kB
VmallocChunk:          0 kB
Percpu:           148288 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      577000 kB
DirectMap2M:    10393600 kB
DirectMap1G:    1180696576 kB
