pgmigrate_success 10524100
pgmigrate_fail 103489
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
pgmigrate_fail_dst_node_fail 642871
pgmigrate_fail_numa_isolate_fail 792481
pgmigrate_fail_nomem_fail 93
pgmigrate_fail_refcount_fail 1366
thp_fault_alloc 1
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 1
thp_split_page_failed 0
thp_deferred_split_page 1
thp_split_pmd 1
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 1
MemTotal:       550805096 kB
MemFree:        530045880 kB
MemAvailable:   529058448 kB
Buffers:           60872 kB
Cached:           312836 kB
SwapCached:        20264 kB
Active:            23016 kB
Inactive:         538608 kB
Active(anon):       7492 kB
Inactive(anon):   182200 kB
Active(file):      15524 kB
Inactive(file):   356408 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        1664728 kB
Dirty:                20 kB
Writeback:             0 kB
AnonPages:        174772 kB
Mapped:           267044 kB
Shmem:              1780 kB
KReclaimable:     190256 kB
Slab:             589124 kB
SReclaimable:     190256 kB
SUnreclaim:       398868 kB
KernelStack:       34032 kB
PageTables:        30284 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    277499696 kB
Committed_AS:    6512980 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      139196 kB
VmallocChunk:          0 kB
Percpu:           146496 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      591336 kB
DirectMap2M:    10379264 kB
DirectMap1G:    1180696576 kB
