pgmigrate_success 65384
pgmigrate_fail 2102
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
pgmigrate_fail_dst_node_fail 0
pgmigrate_fail_numa_isolate_fail 0
pgmigrate_fail_nomem_fail 11
pgmigrate_fail_refcount_fail 23
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       553343592 kB
MemFree:        533325204 kB
MemAvailable:   532340684 kB
Buffers:            5544 kB
Cached:           416540 kB
SwapCached:            0 kB
Active:           149032 kB
Inactive:         854472 kB
Active(anon):        776 kB
Inactive(anon):   586108 kB
Active(file):     148256 kB
Inactive(file):   268364 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:                64 kB
Writeback:             0 kB
AnonPages:        580384 kB
Mapped:           413132 kB
Shmem:              6200 kB
KReclaimable:     181380 kB
Slab:             559372 kB
SReclaimable:     181380 kB
SUnreclaim:       377992 kB
KernelStack:       33152 kB
PageTables:        29732 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    278768944 kB
Committed_AS:    6474988 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      138692 kB
VmallocChunk:          0 kB
Percpu:           148288 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      653800 kB
DirectMap2M:     7993344 kB
DirectMap1G:    1138753536 kB
