pgmigrate_success 310629
pgmigrate_fail 77906
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
pgmigrate_fail_dst_node_fail 3748
pgmigrate_fail_numa_isolate_fail 3766
pgmigrate_fail_nomem_fail 73
pgmigrate_fail_refcount_fail 29600
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       547605096 kB
MemFree:        527925736 kB
MemAvailable:   526961728 kB
Buffers:           90112 kB
Cached:           226236 kB
SwapCached:        41252 kB
Active:           169832 kB
Inactive:         404316 kB
Active(anon):      23136 kB
Inactive(anon):   239056 kB
Active(file):     146696 kB
Inactive(file):   165260 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        1711100 kB
Dirty:                 4 kB
Writeback:             0 kB
AnonPages:        247660 kB
Mapped:           114180 kB
Shmem:              4352 kB
KReclaimable:     259280 kB
Slab:             652740 kB
SReclaimable:     259280 kB
SUnreclaim:       393460 kB
KernelStack:       33584 kB
PageTables:        31168 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    275899696 kB
Committed_AS:    6467764 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      139252 kB
VmallocChunk:          0 kB
Percpu:           147392 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      629224 kB
DirectMap2M:     8478720 kB
DirectMap1G:    1132462080 kB
