pgmigrate_success 3634591
pgmigrate_fail 201519
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
pgmigrate_fail_dst_node_fail 11703
pgmigrate_fail_numa_isolate_fail 12441
pgmigrate_fail_nomem_fail 449
pgmigrate_fail_refcount_fail 30120
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       547605096 kB
MemFree:        527685784 kB
MemAvailable:   526724388 kB
Buffers:           71976 kB
Cached:           310736 kB
SwapCached:        71968 kB
Active:           138992 kB
Inactive:         641128 kB
Active(anon):      53684 kB
Inactive(anon):   348116 kB
Active(file):      85308 kB
Inactive(file):   293012 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        1714428 kB
Dirty:                44 kB
Writeback:             0 kB
AnonPages:        385320 kB
Mapped:           153252 kB
Shmem:              4364 kB
KReclaimable:     198140 kB
Slab:             634328 kB
SReclaimable:     198140 kB
SUnreclaim:       436188 kB
KernelStack:       32576 kB
PageTables:        32860 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    275899696 kB
Committed_AS:    6782712 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      137988 kB
VmallocChunk:          0 kB
Percpu:           147392 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      668136 kB
DirectMap2M:     9488384 kB
DirectMap1G:    1131413504 kB
