pgmigrate_success 2984840
pgmigrate_fail 85755
thp_migration_success 1
thp_migration_fail 0
thp_migration_split 0
pgmigrate_fail_dst_node_fail 3685
pgmigrate_fail_numa_isolate_fail 3710
pgmigrate_fail_nomem_fail 135
pgmigrate_fail_refcount_fail 3345
thp_fault_alloc 1
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       548337256 kB
MemFree:        527095408 kB
MemAvailable:   526302560 kB
Buffers:          179280 kB
Cached:           468716 kB
SwapCached:          820 kB
Active:           108644 kB
Inactive:        1155176 kB
Active(anon):       2832 kB
Inactive(anon):   618924 kB
Active(file):     105812 kB
Inactive(file):   536252 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2078204 kB
Dirty:                36 kB
Writeback:             0 kB
AnonPages:        615064 kB
Mapped:           352268 kB
Shmem:              5944 kB
KReclaimable:     280140 kB
Slab:             710592 kB
SReclaimable:     280140 kB
SUnreclaim:       430452 kB
KernelStack:       32880 kB
PageTables:        32736 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    276265776 kB
Committed_AS:    6707216 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      137828 kB
VmallocChunk:          0 kB
Percpu:           147840 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      609768 kB
DirectMap2M:    10360832 kB
DirectMap1G:    1180696576 kB
