pgmigrate_success 3855182
pgmigrate_fail 204651
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
pgmigrate_fail_dst_node_fail 11861
pgmigrate_fail_numa_isolate_fail 12599
pgmigrate_fail_nomem_fail 459
pgmigrate_fail_refcount_fail 30121
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       547605096 kB
MemFree:        527617032 kB
MemAvailable:   526680872 kB
Buffers:           90120 kB
Cached:           318888 kB
SwapCached:        69536 kB
Active:           177260 kB
Inactive:         622792 kB
Active(anon):      73896 kB
Inactive(anon):   321568 kB
Active(file):     103364 kB
Inactive(file):   301224 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        1708796 kB
Dirty:                32 kB
Writeback:             0 kB
AnonPages:        378556 kB
Mapped:           153956 kB
Shmem:              4364 kB
KReclaimable:     222344 kB
Slab:             658564 kB
SReclaimable:     222344 kB
SUnreclaim:       436220 kB
KernelStack:       32148 kB
PageTables:        33752 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    275899696 kB
Committed_AS:    6783848 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      137908 kB
VmallocChunk:          0 kB
Percpu:           147392 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      668136 kB
DirectMap2M:     9488384 kB
DirectMap1G:    1131413504 kB
