pgmigrate_success 1209826
pgmigrate_fail 16653
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
pgmigrate_fail_dst_node_fail 433
pgmigrate_fail_numa_isolate_fail 442
pgmigrate_fail_nomem_fail 92
pgmigrate_fail_refcount_fail 73
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       551155308 kB
MemFree:        530068444 kB
MemAvailable:   529172936 kB
Buffers:           77952 kB
Cached:           454668 kB
SwapCached:            0 kB
Active:           146856 kB
Inactive:        1057820 kB
Active(anon):      36000 kB
Inactive(anon):   642272 kB
Active(file):     110856 kB
Inactive(file):   415548 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:                64 kB
Writeback:             0 kB
AnonPages:        671724 kB
Mapped:           387108 kB
Shmem:              6208 kB
KReclaimable:     223764 kB
Slab:             650916 kB
SReclaimable:     223764 kB
SUnreclaim:       427152 kB
KernelStack:       32144 kB
PageTables:        31104 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    277674800 kB
Committed_AS:    6779948 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      137444 kB
VmallocChunk:          0 kB
Percpu:           146496 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      663016 kB
DirectMap2M:    10307584 kB
DirectMap1G:    1180696576 kB
