pgmigrate_success 2599864
pgmigrate_fail 44359
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
pgmigrate_fail_dst_node_fail 2516
pgmigrate_fail_numa_isolate_fail 2526
pgmigrate_fail_nomem_fail 140
pgmigrate_fail_refcount_fail 179
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       549607020 kB
MemFree:        528309608 kB
MemAvailable:   527563968 kB
Buffers:          203928 kB
Cached:           613608 kB
SwapCached:           52 kB
Active:            96316 kB
Inactive:        1329748 kB
Active(anon):       4988 kB
Inactive(anon):   609684 kB
Active(file):      91328 kB
Inactive(file):   720064 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2096636 kB
Dirty:                32 kB
Writeback:             0 kB
AnonPages:        608692 kB
Mapped:           390728 kB
Shmem:              6196 kB
KReclaimable:     220220 kB
Slab:             645952 kB
SReclaimable:     220220 kB
SUnreclaim:       425732 kB
KernelStack:       32312 kB
PageTables:        31292 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    276900656 kB
Committed_AS:    6711448 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      137380 kB
VmallocChunk:          0 kB
Percpu:           146048 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      703976 kB
DirectMap2M:    10266624 kB
DirectMap1G:    1180696576 kB
