pgmigrate_success 2399097
pgmigrate_fail 60112
thp_migration_success 1
thp_migration_fail 0
thp_migration_split 0
pgmigrate_fail_dst_node_fail 3071
pgmigrate_fail_numa_isolate_fail 3077
pgmigrate_fail_nomem_fail 89
pgmigrate_fail_refcount_fail 3254
thp_fault_alloc 1
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       548337256 kB
MemFree:        527091620 kB
MemAvailable:   526295620 kB
Buffers:          177156 kB
Cached:           464800 kB
SwapCached:          816 kB
Active:            99280 kB
Inactive:        1152936 kB
Active(anon):       4552 kB
Inactive(anon):   611644 kB
Active(file):      94728 kB
Inactive(file):   541292 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2077948 kB
Dirty:                32 kB
Writeback:             0 kB
AnonPages:        609956 kB
Mapped:           350984 kB
Shmem:              5944 kB
KReclaimable:     279880 kB
Slab:             708412 kB
SReclaimable:     279880 kB
SUnreclaim:       428532 kB
KernelStack:       32288 kB
PageTables:        33360 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    276265776 kB
Committed_AS:    6682460 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      137796 kB
VmallocChunk:          0 kB
Percpu:           147840 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      609768 kB
DirectMap2M:    10360832 kB
DirectMap1G:    1180696576 kB
