pgmigrate_success 3275622
pgmigrate_fail 92
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_scan_exceed_none_pte 0
thp_scan_exceed_swap_pte 0
thp_scan_exceed_share_pte 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       554577392 kB
MemFree:        523348024 kB
MemAvailable:   522428688 kB
Buffers:           39852 kB
Cached:           561736 kB
SwapCached:        29120 kB
Active:          3000620 kB
Inactive:        9054396 kB
Active(anon):    2903636 kB
Inactive(anon):  8555032 kB
Active(file):      96984 kB
Inactive(file):   499364 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        1645188 kB
Dirty:                52 kB
Writeback:             0 kB
AnonPages:      11442240 kB
Mapped:           442740 kB
Shmem:              5124 kB
KReclaimable:     191672 kB
Slab:             485188 kB
SReclaimable:     191672 kB
SUnreclaim:       293516 kB
KernelStack:       32528 kB
PageTables:        65992 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    279385844 kB
Committed_AS:    8396832 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      140696 kB
VmallocChunk:          0 kB
Percpu:           133504 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      583144 kB
DirectMap2M:     8290304 kB
DirectMap1G:    1182793728 kB
