pgmigrate_success 477319
pgmigrate_fail 66
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_scan_exceed_none_pte 0
thp_scan_exceed_swap_pte 0
thp_scan_exceed_share_pte 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       554577392 kB
MemFree:        523424864 kB
MemAvailable:   522455404 kB
Buffers:           19128 kB
Cached:           459444 kB
SwapCached:            0 kB
Active:           101340 kB
Inactive:       11662796 kB
Active(anon):        420 kB
Inactive(anon): 11292204 kB
Active(file):     100920 kB
Inactive(file):   370592 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:              2972 kB
Writeback:             0 kB
AnonPages:      11286600 kB
Mapped:           445556 kB
Shmem:              6208 kB
KReclaimable:     216264 kB
Slab:             506920 kB
SReclaimable:     216264 kB
SUnreclaim:       290656 kB
KernelStack:       32420 kB
PageTables:        64848 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    279385844 kB
Committed_AS:    8294872 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      140440 kB
VmallocChunk:          0 kB
Percpu:           133504 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      583144 kB
DirectMap2M:     8290304 kB
DirectMap1G:    1182793728 kB
