pgmigrate_success 14327
pgmigrate_fail 4
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_scan_exceed_none_pte 0
thp_scan_exceed_swap_pte 0
thp_scan_exceed_share_pte 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       580610532 kB
MemFree:        561156484 kB
MemAvailable:   559975776 kB
Buffers:            5240 kB
Cached:           402996 kB
SwapCached:            0 kB
Active:            68856 kB
Inactive:         921336 kB
Active(anon):       1020 kB
Inactive(anon):   586288 kB
Active(file):      67836 kB
Inactive(file):   335048 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:                 4 kB
Writeback:             0 kB
AnonPages:        581400 kB
Mapped:           400176 kB
Shmem:              6240 kB
KReclaimable:     169912 kB
Slab:             446120 kB
SReclaimable:     169912 kB
SUnreclaim:       276208 kB
KernelStack:       32560 kB
PageTables:        42260 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    292402412 kB
Committed_AS:    6563632 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      194840 kB
VmallocChunk:          0 kB
Percpu:           133504 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      524776 kB
DirectMap2M:     9613312 kB
DirectMap1G:    1164967936 kB
