pgmigrate_success 12131086
pgmigrate_fail 24595842
thp_migration_success 1219
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 31101
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 1
thp_collapse_alloc_failed 1
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 23
thp_split_page_failed 0
thp_deferred_split_page 23
thp_split_pmd 23
thp_scan_exceed_none_pte 0
thp_scan_exceed_swap_pte 0
thp_scan_exceed_share_pte 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 23
MemTotal:       551149036 kB
MemFree:        530888760 kB
MemAvailable:   529926940 kB
Buffers:           64436 kB
Cached:           388668 kB
SwapCached:         7760 kB
Active:           127896 kB
Inactive:         930548 kB
Active(anon):      25104 kB
Inactive(anon):   585124 kB
Active(file):     102792 kB
Inactive(file):   345424 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2070272 kB
Dirty:                 4 kB
Writeback:             0 kB
AnonPages:        604560 kB
Mapped:           367884 kB
Shmem:              4892 kB
KReclaimable:     214348 kB
Slab:             507884 kB
SReclaimable:     214348 kB
SUnreclaim:       293536 kB
KernelStack:       31776 kB
PageTables:        43208 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    277671664 kB
Committed_AS:    6621084 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      140000 kB
VmallocChunk:          0 kB
Percpu:           134400 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      550376 kB
DirectMap2M:     9371648 kB
DirectMap1G:    1181745152 kB
