pgmigrate_success 107899
pgmigrate_fail 26
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_scan_exceed_none_pte 0
thp_scan_exceed_swap_pte 0
thp_scan_exceed_share_pte 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       559414768 kB
MemFree:        539129396 kB
MemAvailable:   538149048 kB
Buffers:           67664 kB
Cached:           455580 kB
SwapCached:            0 kB
Active:           231784 kB
Inactive:         903812 kB
Active(anon):        468 kB
Inactive(anon):   618060 kB
Active(file):     231316 kB
Inactive(file):   285752 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:                36 kB
Writeback:             0 kB
AnonPages:        612556 kB
Mapped:           415720 kB
Shmem:              6208 kB
KReclaimable:     206072 kB
Slab:             499840 kB
SReclaimable:     206072 kB
SUnreclaim:       293768 kB
KernelStack:       33980 kB
PageTables:        44800 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    281804532 kB
Committed_AS:    6606832 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      140444 kB
VmallocChunk:          0 kB
Percpu:           133952 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      554472 kB
DirectMap2M:     9367552 kB
DirectMap1G:    1181745152 kB
