pgmigrate_success 14201783
pgmigrate_fail 45683577
thp_migration_success 6502
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 15549
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 1
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_scan_exceed_none_pte 0
thp_scan_exceed_swap_pte 0
thp_scan_exceed_share_pte 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       558607856 kB
MemFree:        538409476 kB
MemAvailable:   537348880 kB
Buffers:            5708 kB
Cached:           369708 kB
SwapCached:         3344 kB
Active:           106528 kB
Inactive:         879016 kB
Active(anon):      75244 kB
Inactive(anon):   538828 kB
Active(file):      31284 kB
Inactive(file):   340188 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2060664 kB
Dirty:              1060 kB
Writeback:             0 kB
AnonPages:        608300 kB
Mapped:           366572 kB
Shmem:              5224 kB
KReclaimable:     181636 kB
Slab:             480448 kB
SReclaimable:     181636 kB
SUnreclaim:       298812 kB
KernelStack:       31808 kB
PageTables:        43636 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    281401076 kB
Committed_AS:    6679812 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      140248 kB
VmallocChunk:          0 kB
Percpu:           133504 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      460264 kB
DirectMap2M:     8413184 kB
DirectMap1G:    1182793728 kB
