pgmigrate_success 5179
pgmigrate_fail 0
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_scan_exceed_none_pte 0
thp_scan_exceed_swap_pte 0
thp_scan_exceed_share_pte 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       1174908372 kB
MemFree:        1156361596 kB
MemAvailable:   1153896332 kB
Buffers:            2280 kB
Cached:           355760 kB
SwapCached:            0 kB
Active:            79784 kB
Inactive:         856260 kB
Active(anon):        420 kB
Inactive(anon):   583720 kB
Active(file):      79364 kB
Inactive(file):   272540 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:                 8 kB
Writeback:             0 kB
AnonPages:        578388 kB
Mapped:           352476 kB
Shmem:              6108 kB
KReclaimable:     148528 kB
Slab:             422476 kB
SReclaimable:     148528 kB
SUnreclaim:       273948 kB
KernelStack:       31984 kB
PageTables:        42340 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    589551332 kB
Committed_AS:    6301224 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      196384 kB
VmallocChunk:          0 kB
Percpu:           131712 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      439784 kB
DirectMap2M:     8433664 kB
DirectMap1G:    1180696576 kB
