pgmigrate_success 57248
pgmigrate_fail 6
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_scan_exceed_none_pte 0
thp_scan_exceed_swap_pte 0
thp_scan_exceed_share_pte 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       550798832 kB
MemFree:        530676396 kB
MemAvailable:   529672380 kB
Buffers:            5132 kB
Cached:           402076 kB
SwapCached:            0 kB
Active:            70028 kB
Inactive:         930912 kB
Active(anon):        408 kB
Inactive(anon):   599492 kB
Active(file):      69620 kB
Inactive(file):   331420 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:                 4 kB
Writeback:             0 kB
AnonPages:        593900 kB
Mapped:           398964 kB
Shmem:              6208 kB
KReclaimable:     172980 kB
Slab:             450016 kB
SReclaimable:     172980 kB
SUnreclaim:       277036 kB
KernelStack:       31568 kB
PageTables:        42316 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    277496564 kB
Committed_AS:    6600012 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      140004 kB
VmallocChunk:          0 kB
Percpu:           133504 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      480744 kB
DirectMap2M:    10489856 kB
DirectMap1G:    1180696576 kB
