pgmigrate_success 34912
pgmigrate_fail 44
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_scan_exceed_none_pte 0
thp_scan_exceed_swap_pte 0
thp_scan_exceed_share_pte 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       554577388 kB
MemFree:        534407752 kB
MemAvailable:   533425872 kB
Buffers:           62388 kB
Cached:           398188 kB
SwapCached:            0 kB
Active:           140472 kB
Inactive:         920612 kB
Active(anon):        416 kB
Inactive(anon):   606284 kB
Active(file):     140056 kB
Inactive(file):   314328 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:                 8 kB
Writeback:             0 kB
AnonPages:        601184 kB
Mapped:           376300 kB
Shmem:              6208 kB
KReclaimable:     208552 kB
Slab:             485996 kB
SReclaimable:     208552 kB
SUnreclaim:       277444 kB
KernelStack:       31632 kB
PageTables:        42632 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    279385840 kB
Committed_AS:    6615800 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      140040 kB
VmallocChunk:          0 kB
Percpu:           133504 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      515560 kB
DirectMap2M:     9406464 kB
DirectMap1G:    1181745152 kB
