pgmigrate_success 245864
pgmigrate_fail 75
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_scan_exceed_none_pte 0
thp_scan_exceed_swap_pte 0
thp_scan_exceed_share_pte 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       548330992 kB
MemFree:        527309292 kB
MemAvailable:   526581792 kB
Buffers:          125072 kB
Cached:           566452 kB
SwapCached:        58912 kB
Active:           311792 kB
Inactive:        1118588 kB
Active(anon):      23380 kB
Inactive(anon):   719788 kB
Active(file):     288412 kB
Inactive(file):   398800 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        1709308 kB
Dirty:                28 kB
Writeback:             0 kB
AnonPages:        727680 kB
Mapped:           157104 kB
Shmem:              4312 kB
KReclaimable:     410688 kB
Slab:             728900 kB
SReclaimable:     410688 kB
SUnreclaim:       318212 kB
KernelStack:       32496 kB
PageTables:        56884 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    276262644 kB
Committed_AS:    6779400 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      141124 kB
VmallocChunk:          0 kB
Percpu:           133504 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      577000 kB
DirectMap2M:     9345024 kB
DirectMap1G:    1181745152 kB
