pgmigrate_success 73336
pgmigrate_fail 139
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_scan_exceed_none_pte 0
thp_scan_exceed_swap_pte 0
thp_scan_exceed_share_pte 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
MemTotal:       551149036 kB
MemFree:        526939668 kB
MemAvailable:   526669968 kB
Buffers:           82888 kB
Cached:          1518008 kB
SwapCached:        42944 kB
Active:           302464 kB
Inactive:        4337596 kB
Active(anon):      14376 kB
Inactive(anon):  3030604 kB
Active(file):     288088 kB
Inactive(file):  1306992 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        1826300 kB
Dirty:                36 kB
Writeback:             0 kB
AnonPages:       3026836 kB
Mapped:           164848 kB
Shmem:              5816 kB
KReclaimable:     290604 kB
Slab:             606924 kB
SReclaimable:     290604 kB
SUnreclaim:       316320 kB
KernelStack:       33056 kB
PageTables:        49324 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    277671664 kB
Committed_AS:    7948240 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      141324 kB
VmallocChunk:          0 kB
Percpu:           135296 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      443880 kB
DirectMap2M:     9478144 kB
DirectMap1G:    1181745152 kB
