pgmigrate_success 3611646
pgmigrate_fail 2337
thp_migration_success 98
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 163646
thp_fault_fallback 9
thp_fault_fallback_charge 0
thp_collapse_alloc 34
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 18
thp_split_pmd 21
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 25088
htmm_nr_demoted 25226
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 44976193
htmm_alloc_nvm 70045018
MemTotal:       1184200784 kB
MemFree:        1164253868 kB
MemAvailable:   1161865432 kB
Buffers:           69152 kB
Cached:           456068 kB
SwapCached:            0 kB
Active:           324580 kB
Inactive:        1377688 kB
Active(anon):       7492 kB
Inactive(anon):  1175764 kB
Active(file):     317088 kB
Inactive(file):   201924 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                24 kB
Writeback:             0 kB
AnonPages:       1173860 kB
Mapped:           344576 kB
Shmem:              6212 kB
KReclaimable:     246156 kB
Slab:             672376 kB
SReclaimable:     246156 kB
SUnreclaim:       426220 kB
KernelStack:       34336 kB
PageTables:        44312 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100392 kB
Committed_AS:    9530588 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      198832 kB
VmallocChunk:          0 kB
Percpu:           127232 kB
HardwareCorrupted:     0 kB
AnonHugePages:     59392 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      646632 kB
DirectMap2M:     8226816 kB
DirectMap1G:    1180696576 kB
