pgmigrate_success 67698700
pgmigrate_fail 1039
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 26750402
htmm_nr_demoted 37709273
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 304304014
htmm_alloc_nvm 50268145
MemTotal:       1184205836 kB
MemFree:        1077254040 kB
MemAvailable:   1160760756 kB
Buffers:          112336 kB
Cached:         87281252 kB
SwapCached:           84 kB
Active:         80844416 kB
Inactive:        7236696 kB
Active(anon):       1192 kB
Inactive(anon):   692628 kB
Active(file):   80843224 kB
Inactive(file):  6544068 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2095612 kB
Dirty:                 4 kB
Writeback:             4 kB
AnonPages:        687056 kB
Mapped:           315840 kB
Shmem:              6124 kB
KReclaimable:     440652 kB
Slab:             900728 kB
SReclaimable:     440652 kB
SUnreclaim:       460076 kB
KernelStack:       31648 kB
PageTables:        32740 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    594200064 kB
Committed_AS:    6524464 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      201608 kB
VmallocChunk:          0 kB
Percpu:           171136 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      679400 kB
DirectMap2M:     8194048 kB
DirectMap1G:    1180696576 kB
