pgmigrate_success 88626562
pgmigrate_fail 1117
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 32589731
htmm_nr_demoted 52759928
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 337390503
htmm_alloc_nvm 59886700
MemTotal:       1184205836 kB
MemFree:        1047015892 kB
MemAvailable:   1104997896 kB
Buffers:          532832 kB
Cached:         61224072 kB
SwapCached:          208 kB
Active:         103729796 kB
Inactive:       14172584 kB
Active(anon):   53067508 kB
Inactive(anon):  3083180 kB
Active(file):   50662288 kB
Inactive(file): 11089404 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:      56145916 kB
Mapped:           325304 kB
Shmem:              5620 kB
KReclaimable:     646044 kB
Slab:            1228060 kB
SReclaimable:     646044 kB
SUnreclaim:       582016 kB
KernelStack:       31984 kB
PageTables:       145500 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    594200064 kB
Committed_AS:   81436588 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      202056 kB
VmallocChunk:          0 kB
Percpu:           183680 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      679400 kB
DirectMap2M:     8194048 kB
DirectMap1G:    1180696576 kB
