pgmigrate_success 47023743
pgmigrate_fail 20
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 18132876
htmm_nr_demoted 26443763
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 213766808
htmm_alloc_nvm 28464352
MemTotal:       1184205836 kB
MemFree:        1070832996 kB
MemAvailable:   1160746864 kB
Buffers:          118396 kB
Cached:         93673856 kB
SwapCached:            0 kB
Active:         57639472 kB
Inactive:       36840224 kB
Active(anon):        952 kB
Inactive(anon):   692688 kB
Active(file):   57638520 kB
Inactive(file): 36147536 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:        687772 kB
Mapped:           355224 kB
Shmem:              6196 kB
KReclaimable:     441048 kB
Slab:             899436 kB
SReclaimable:     441048 kB
SUnreclaim:       458388 kB
KernelStack:       31952 kB
PageTables:        32572 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    594200064 kB
Committed_AS:    6524468 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      201124 kB
VmallocChunk:          0 kB
Percpu:           167104 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      679400 kB
DirectMap2M:     8194048 kB
DirectMap1G:    1180696576 kB
