pgmigrate_success 3854633
pgmigrate_fail 1415665
thp_migration_success 6134
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 17991
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 30
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 327
thp_split_pmd 327
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 0
htmm_nr_demoted 3854467
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 6056064
htmm_alloc_nvm 7015143
MemTotal:       1184205836 kB
MemFree:        1161047504 kB
MemAvailable:   1161146500 kB
Buffers:          234596 kB
Cached:          3742772 kB
SwapCached:            0 kB
Active:          2673056 kB
Inactive:        2279912 kB
Active(anon):          0 kB
Inactive(anon):   981816 kB
Active(file):    2673056 kB
Inactive(file):  1298096 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:               504 kB
Writeback:             0 kB
AnonPages:        649904 kB
Mapped:           383268 kB
Shmem:              6204 kB
KReclaimable:     440924 kB
Slab:             836492 kB
SReclaimable:     440924 kB
SUnreclaim:       395568 kB
KernelStack:       31920 kB
PageTables:        32120 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    594200064 kB
Committed_AS:    6610940 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      200204 kB
VmallocChunk:          0 kB
Percpu:           125888 kB
HardwareCorrupted:     0 kB
AnonHugePages:     57344 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      744936 kB
DirectMap2M:     8128512 kB
DirectMap1G:    1180696576 kB
