pgmigrate_success 62421896
pgmigrate_fail 125
thp_migration_success 89728
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 107446
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 73
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 16
thp_split_pmd 72
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 5015673
htmm_nr_demoted 57404526
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 53585671
htmm_alloc_nvm 3772560
MemTotal:       1184205832 kB
MemFree:        1142705620 kB
MemAvailable:   1161216312 kB
Buffers:            9960 kB
Cached:         22480452 kB
SwapCached:            0 kB
Active:            89976 kB
Inactive:       23087724 kB
Active(anon):        432 kB
Inactive(anon):   693484 kB
Active(file):      89544 kB
Inactive(file): 22394240 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               228 kB
Writeback:             0 kB
AnonPages:        684552 kB
Mapped:           355176 kB
Shmem:              6108 kB
KReclaimable:     239056 kB
Slab:             632204 kB
SReclaimable:     239056 kB
SUnreclaim:       393148 kB
KernelStack:       29008 kB
PageTables:        31352 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592102916 kB
Committed_AS:    5807016 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      193088 kB
VmallocChunk:          0 kB
Percpu:           124096 kB
HardwareCorrupted:     0 kB
AnonHugePages:    124928 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      712168 kB
DirectMap2M:     7112704 kB
DirectMap1G:    1181745152 kB
