pgmigrate_success 147
pgmigrate_fail 0
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 6
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 3
thp_split_pmd 3
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 0
htmm_nr_demoted 0
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 448877
htmm_alloc_nvm 0
MemTotal:       1184205836 kB
MemFree:        1163999156 kB
MemAvailable:   1161991224 kB
Buffers:          180024 kB
Cached:          1012036 kB
SwapCached:            0 kB
Active:           342968 kB
Inactive:        1418116 kB
Active(anon):       2836 kB
Inactive(anon):   572292 kB
Active(file):     340132 kB
Inactive(file):   845824 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:                80 kB
Writeback:             0 kB
AnonPages:        568216 kB
Mapped:           377088 kB
Shmem:              6104 kB
KReclaimable:     340236 kB
Slab:             716744 kB
SReclaimable:     340236 kB
SUnreclaim:       376508 kB
KernelStack:       30224 kB
PageTables:        29964 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    594200064 kB
Committed_AS:    5646356 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      195108 kB
VmallocChunk:          0 kB
Percpu:           120064 kB
HardwareCorrupted:     0 kB
AnonHugePages:      6144 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      497128 kB
DirectMap2M:     9424896 kB
DirectMap1G:    1179648000 kB
