pgmigrate_success 5036
pgmigrate_fail 0
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 5
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 0
htmm_nr_demoted 0
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 735011
htmm_alloc_nvm 0
MemTotal:       1184205836 kB
MemFree:        1163154072 kB
MemAvailable:   1161287852 kB
Buffers:          167708 kB
Cached:          1251928 kB
SwapCached:            0 kB
Active:           477608 kB
Inactive:        2095160 kB
Active(anon):       2928 kB
Inactive(anon):  1139988 kB
Active(file):     474680 kB
Inactive(file):   955172 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:               180 kB
Writeback:             0 kB
AnonPages:       1153292 kB
Mapped:           409076 kB
Shmem:              6136 kB
KReclaimable:     379572 kB
Slab:             770296 kB
SReclaimable:     379572 kB
SUnreclaim:       390724 kB
KernelStack:       31440 kB
PageTables:        40132 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    594200064 kB
Committed_AS:    6643792 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      200316 kB
VmallocChunk:          0 kB
Percpu:           121408 kB
HardwareCorrupted:     0 kB
AnonHugePages:     10240 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      798184 kB
DirectMap2M:     8075264 kB
DirectMap1G:    1180696576 kB
