pgmigrate_success 28
pgmigrate_fail 0
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 4
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 0
htmm_nr_demoted 0
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 2516456
htmm_alloc_nvm 0
MemTotal:       1184200788 kB
MemFree:        1163678124 kB
MemAvailable:   1161868920 kB
Buffers:          198328 kB
Cached:          1303036 kB
SwapCached:            0 kB
Active:           569560 kB
Inactive:        1571540 kB
Active(anon):       2856 kB
Inactive(anon):   643000 kB
Active(file):     566704 kB
Inactive(file):   928540 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:               196 kB
Writeback:             0 kB
AnonPages:        639836 kB
Mapped:           381788 kB
Shmem:              6104 kB
KReclaimable:     428388 kB
Slab:             808820 kB
SReclaimable:     428388 kB
SUnreclaim:       380432 kB
KernelStack:       31552 kB
PageTables:        33168 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    594197540 kB
Committed_AS:    6181396 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      196752 kB
VmallocChunk:          0 kB
Percpu:           120960 kB
HardwareCorrupted:     0 kB
AnonHugePages:      8192 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      609768 kB
DirectMap2M:     8263680 kB
DirectMap1G:    1180696576 kB
