pgmigrate_success 432273
pgmigrate_fail 808
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 74615
htmm_nr_demoted 76806
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 4717642
htmm_alloc_nvm 11843417
MemTotal:       1184200788 kB
MemFree:        1129181512 kB
MemAvailable:   1126719816 kB
Buffers:           10780 kB
Cached:           504984 kB
SwapCached:            0 kB
Active:           373504 kB
Inactive:       36462816 kB
Active(anon):     270976 kB
Inactive(anon): 36055936 kB
Active(file):     102528 kB
Inactive(file):   406880 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:              4332 kB
Writeback:             0 kB
AnonPages:      36299540 kB
Mapped:           469264 kB
Shmem:              6176 kB
KReclaimable:     108996 kB
Slab:             556904 kB
SReclaimable:     108996 kB
SUnreclaim:       447908 kB
KernelStack:       30016 kB
PageTables:       105424 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100392 kB
Committed_AS:   40971144 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      194920 kB
VmallocChunk:          0 kB
Percpu:           123200 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      556520 kB
DirectMap2M:     8316928 kB
DirectMap1G:    1180696576 kB
