pgmigrate_success 6191942
pgmigrate_fail 46
thp_migration_success 12061
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 63501
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 38
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 13
thp_split_pmd 94
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 2323456
htmm_nr_demoted 3854643
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 75298758
htmm_alloc_nvm 232448
MemTotal:       1184205836 kB
MemFree:        1164915148 kB
MemAvailable:   1162414344 kB
Buffers:            7092 kB
Cached:           356876 kB
SwapCached:            0 kB
Active:            92172 kB
Inactive:         918748 kB
Active(anon):       1048 kB
Inactive(anon):   652528 kB
Active(file):      91124 kB
Inactive(file):   266220 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                16 kB
Writeback:             0 kB
AnonPages:        647688 kB
Mapped:           351456 kB
Shmem:              6108 kB
KReclaimable:     183108 kB
Slab:             569020 kB
SReclaimable:     183108 kB
SUnreclaim:       385912 kB
KernelStack:       28704 kB
PageTables:        31744 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592102916 kB
Committed_AS:    5739576 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      196668 kB
VmallocChunk:          0 kB
Percpu:           124096 kB
HardwareCorrupted:     0 kB
AnonHugePages:     65536 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      808424 kB
DirectMap2M:     8065024 kB
DirectMap1G:    1180696576 kB
