pgmigrate_success 69132
pgmigrate_fail 0
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 2
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 0
htmm_nr_demoted 0
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 482287213
htmm_alloc_nvm 0
MemTotal:       1184200788 kB
MemFree:        1133884208 kB
MemAvailable:   1160278056 kB
Buffers:          719520 kB
Cached:         28786140 kB
SwapCached:            0 kB
Active:         10367976 kB
Inactive:       19899364 kB
Active(anon):       2856 kB
Inactive(anon):   764940 kB
Active(file):   10365120 kB
Inactive(file): 19134424 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:               160 kB
Writeback:             0 kB
AnonPages:        761880 kB
Mapped:           375520 kB
Shmem:              6108 kB
KReclaimable:    1973756 kB
Slab:            2503620 kB
SReclaimable:    1973756 kB
SUnreclaim:       529864 kB
KernelStack:       29440 kB
PageTables:        33536 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    594197540 kB
Committed_AS:    6305252 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      194480 kB
VmallocChunk:          0 kB
Percpu:           132608 kB
HardwareCorrupted:     0 kB
AnonHugePages:      4096 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      990696 kB
DirectMap2M:     7882752 kB
DirectMap1G:    1180696576 kB
