pgmigrate_success 31831
pgmigrate_fail 0
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 26969
htmm_nr_demoted 82
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 5137386
htmm_alloc_nvm 4195327
MemTotal:       1184205836 kB
MemFree:        1163065988 kB
MemAvailable:   1161222256 kB
Buffers:          222028 kB
Cached:          1215232 kB
SwapCached:            0 kB
Active:           473788 kB
Inactive:        1984840 kB
Active(anon):       3436 kB
Inactive(anon):  1024132 kB
Active(file):     470352 kB
Inactive(file):   960708 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:              1192 kB
Writeback:             0 kB
AnonPages:       1020928 kB
Mapped:           429388 kB
Shmem:              6200 kB
KReclaimable:     423340 kB
Slab:             829764 kB
SReclaimable:     423340 kB
SUnreclaim:       406424 kB
KernelStack:       33200 kB
PageTables:        42040 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    594200064 kB
Committed_AS:    7289428 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      201884 kB
VmallocChunk:          0 kB
Percpu:           125440 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      683496 kB
DirectMap2M:     8189952 kB
DirectMap1G:    1180696576 kB
