pgmigrate_success 403405
pgmigrate_fail 1045
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 400110
htmm_nr_demoted 374
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 5518154
htmm_alloc_nvm 3949391
MemTotal:       1184205836 kB
MemFree:        1163812520 kB
MemAvailable:   1161882424 kB
Buffers:          207152 kB
Cached:          1056420 kB
SwapCached:            0 kB
Active:           410508 kB
Inactive:        1462696 kB
Active(anon):       2884 kB
Inactive(anon):   613004 kB
Active(file):     407624 kB
Inactive(file):   849692 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:                 4 kB
Writeback:             0 kB
AnonPages:        610168 kB
Mapped:           375116 kB
Shmem:              6200 kB
KReclaimable:     424552 kB
Slab:             826184 kB
SReclaimable:     424552 kB
SUnreclaim:       401632 kB
KernelStack:       32368 kB
PageTables:        32672 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    594200064 kB
Committed_AS:    6591568 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      200452 kB
VmallocChunk:          0 kB
Percpu:           125888 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      787944 kB
DirectMap2M:     8085504 kB
DirectMap1G:    1180696576 kB
