pgmigrate_success 403131
pgmigrate_fail 1045
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 400110
htmm_nr_demoted 374
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 5124401
htmm_alloc_nvm 3949391
MemTotal:       1184205836 kB
MemFree:        1163809616 kB
MemAvailable:   1161872204 kB
Buffers:          200536 kB
Cached:          1052500 kB
SwapCached:            0 kB
Active:           404500 kB
Inactive:        1455500 kB
Active(anon):       3904 kB
Inactive(anon):   609252 kB
Active(file):     400596 kB
Inactive(file):   846248 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:                 8 kB
Writeback:             0 kB
AnonPages:        607084 kB
Mapped:           376304 kB
Shmem:              6200 kB
KReclaimable:     420388 kB
Slab:             826688 kB
SReclaimable:     420388 kB
SUnreclaim:       406300 kB
KernelStack:       40736 kB
PageTables:        33928 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    594200064 kB
Committed_AS:   11203764 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      209508 kB
VmallocChunk:          0 kB
Percpu:           124544 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      787944 kB
DirectMap2M:     8085504 kB
DirectMap1G:    1180696576 kB
