pgmigrate_success 650993
pgmigrate_fail 1003
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 647748
htmm_nr_demoted 796
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 8901875
htmm_alloc_nvm 7287410
MemTotal:       1184205836 kB
MemFree:        1162925836 kB
MemAvailable:   1161132240 kB
Buffers:          215128 kB
Cached:          1306076 kB
SwapCached:            0 kB
Active:           442128 kB
Inactive:        2230388 kB
Active(anon):       3372 kB
Inactive(anon):  1154280 kB
Active(file):     438756 kB
Inactive(file):  1076108 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:            174160 kB
Writeback:             0 kB
AnonPages:       1151728 kB
Mapped:           432528 kB
Shmem:              6200 kB
KReclaimable:     439812 kB
Slab:             872236 kB
SReclaimable:     439812 kB
SUnreclaim:       432424 kB
KernelStack:       32240 kB
PageTables:        46772 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    594200064 kB
Committed_AS:    6782880 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      201036 kB
VmallocChunk:          0 kB
Percpu:           125888 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      583144 kB
DirectMap2M:     8290304 kB
DirectMap1G:    1180696576 kB
