pgmigrate_success 616542
pgmigrate_fail 952
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 613356
htmm_nr_demoted 739
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 7217224
htmm_alloc_nvm 5568684
MemTotal:       1184205836 kB
MemFree:        1163138768 kB
MemAvailable:   1161255284 kB
Buffers:          214696 kB
Cached:          1131804 kB
SwapCached:            0 kB
Active:           441144 kB
Inactive:        2041412 kB
Active(anon):       2908 kB
Inactive(anon):  1139328 kB
Active(file):     438236 kB
Inactive(file):   902084 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:               204 kB
Writeback:             0 kB
AnonPages:       1136332 kB
Mapped:           407044 kB
Shmem:              6200 kB
KReclaimable:     434580 kB
Slab:             859036 kB
SReclaimable:     434580 kB
SUnreclaim:       424456 kB
KernelStack:       32368 kB
PageTables:        46528 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    594200064 kB
Committed_AS:    6764564 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      200892 kB
VmallocChunk:          0 kB
Percpu:           125888 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      583144 kB
DirectMap2M:     8290304 kB
DirectMap1G:    1180696576 kB
