pgmigrate_success 7812952
pgmigrate_fail 3
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 841629
htmm_nr_demoted 6960957
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 5527312
htmm_alloc_nvm 4095081
MemTotal:       1184205832 kB
MemFree:        1132516500 kB
MemAvailable:   1161011456 kB
Buffers:          204028 kB
Cached:         32138884 kB
SwapCached:            0 kB
Active:           408376 kB
Inactive:       32541004 kB
Active(anon):       3568 kB
Inactive(anon):   609148 kB
Active(file):     404808 kB
Inactive(file): 31931856 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:              3428 kB
Writeback:             0 kB
AnonPages:        607352 kB
Mapped:           408204 kB
Shmem:              6200 kB
KReclaimable:     501820 kB
Slab:             909992 kB
SReclaimable:     501820 kB
SUnreclaim:       408172 kB
KernelStack:       41088 kB
PageTables:        34808 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    594200064 kB
Committed_AS:   11236816 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      209868 kB
VmallocChunk:          0 kB
Percpu:           124544 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      767464 kB
DirectMap2M:     8105984 kB
DirectMap1G:    1180696576 kB
