pgmigrate_success 10236
pgmigrate_fail 0
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 0
htmm_nr_demoted 0
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 376629
htmm_alloc_nvm 0
MemTotal:       1184205832 kB
MemFree:        1163728356 kB
MemAvailable:   1161843984 kB
Buffers:          199704 kB
Cached:          1163188 kB
SwapCached:            0 kB
Active:           401808 kB
Inactive:        1550076 kB
Active(anon):       2888 kB
Inactive(anon):   592308 kB
Active(file):     398920 kB
Inactive(file):   957768 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:               484 kB
Writeback:             0 kB
AnonPages:        589088 kB
Mapped:           394528 kB
Shmem:              6200 kB
KReclaimable:     416440 kB
Slab:             801400 kB
SReclaimable:     416440 kB
SUnreclaim:       384960 kB
KernelStack:       31888 kB
PageTables:        31544 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    594200064 kB
Committed_AS:    6575476 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      200468 kB
VmallocChunk:          0 kB
Percpu:           124544 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      765416 kB
DirectMap2M:     8108032 kB
DirectMap1G:    1180696576 kB
