pgmigrate_success 14351421
pgmigrate_fail 0
thp_migration_success 12734
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 16844
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 11
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 6
thp_split_pmd 6
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 2408877
htmm_nr_demoted 11942486
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 4783670
htmm_alloc_nvm 4814572
MemTotal:       1184205832 kB
MemFree:        1132728304 kB
MemAvailable:   1161111676 kB
Buffers:          202480 kB
Cached:         32033224 kB
SwapCached:            0 kB
Active:           404448 kB
Inactive:       32432128 kB
Active(anon):       3320 kB
Inactive(anon):   603740 kB
Active(file):     401128 kB
Inactive(file): 31828388 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:                 8 kB
Writeback:             0 kB
AnonPages:        600500 kB
Mapped:           407900 kB
Shmem:              6200 kB
KReclaimable:     493136 kB
Slab:             878328 kB
SReclaimable:     493136 kB
SUnreclaim:       385192 kB
KernelStack:       31888 kB
PageTables:        30300 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    594200064 kB
Committed_AS:    6489128 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      200388 kB
VmallocChunk:          0 kB
Percpu:           124544 kB
HardwareCorrupted:     0 kB
AnonHugePages:     22528 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      759272 kB
DirectMap2M:     8114176 kB
DirectMap1G:    1180696576 kB
