pgmigrate_success 24960096
pgmigrate_fail 0
thp_migration_success 37987
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 35934
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 35
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 117
thp_split_pmd 117
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 2667479
htmm_nr_demoted 22280457
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 15939976
htmm_alloc_nvm 3054138
MemTotal:       1184205836 kB
MemFree:        1142310476 kB
MemAvailable:   1161123188 kB
Buffers:           68764 kB
Cached:         22693308 kB
SwapCached:            0 kB
Active:           241148 kB
Inactive:       23270592 kB
Active(anon):        712 kB
Inactive(anon):   755076 kB
Active(file):     240436 kB
Inactive(file): 22515516 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:            151572 kB
Writeback:             0 kB
AnonPages:        749792 kB
Mapped:           351864 kB
Shmem:              6108 kB
KReclaimable:     298944 kB
Slab:             696680 kB
SReclaimable:     298944 kB
SUnreclaim:       397736 kB
KernelStack:       31504 kB
PageTables:        32056 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    594200064 kB
Committed_AS:    6461968 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      200164 kB
VmallocChunk:          0 kB
Percpu:           124992 kB
HardwareCorrupted:     0 kB
AnonHugePages:     69632 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      697832 kB
DirectMap2M:     8175616 kB
DirectMap1G:    1180696576 kB
