pgmigrate_success 8116999
pgmigrate_fail 3
thp_migration_success 14503
thp_migration_fail 1
thp_migration_split 0
thp_fault_alloc 16612
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 232
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 1801
thp_split_page_failed 124
thp_deferred_split_page 2472
thp_split_pmd 4395
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 746818
htmm_nr_demoted 7360830
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 11960030
htmm_alloc_nvm 1005412
MemTotal:       1184205836 kB
MemFree:        1162889548 kB
MemAvailable:   1161243452 kB
Buffers:          278864 kB
Cached:          1535668 kB
SwapCached:            0 kB
Active:           871436 kB
Inactive:        5734952 kB
Active(anon):          0 kB
Inactive(anon):  4797992 kB
Active(file):     871436 kB
Inactive(file):   936960 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:                 4 kB
Writeback:             0 kB
AnonPages:        839224 kB
Mapped:           377156 kB
Shmem:              6200 kB
KReclaimable:     441280 kB
Slab:             875316 kB
SReclaimable:     441280 kB
SUnreclaim:       434036 kB
KernelStack:       33360 kB
PageTables:        37684 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    594200064 kB
Committed_AS:    6753104 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      201592 kB
VmallocChunk:          0 kB
Percpu:           134848 kB
HardwareCorrupted:     0 kB
AnonHugePages:    331776 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      708072 kB
DirectMap2M:     8165376 kB
DirectMap1G:    1180696576 kB
