pgmigrate_success 3326086
pgmigrate_fail 0
thp_migration_success 3884
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 6998
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 131
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 3558
thp_split_page_failed 105
thp_deferred_split_page 4498
thp_split_pmd 5232
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 1389599
htmm_nr_demoted 1935395
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 6515790
htmm_alloc_nvm 942918
MemTotal:       1184205832 kB
MemFree:        1162514704 kB
MemAvailable:   1161116424 kB
Buffers:          730296 kB
Cached:          1245100 kB
SwapCached:            0 kB
Active:           971124 kB
Inactive:        9299660 kB
Active(anon):          0 kB
Inactive(anon):  8301532 kB
Active(file):     971124 kB
Inactive(file):   998128 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:                28 kB
Writeback:             0 kB
AnonPages:        792260 kB
Mapped:           374584 kB
Shmem:              6200 kB
KReclaimable:     776244 kB
Slab:            1199500 kB
SReclaimable:     776244 kB
SUnreclaim:       423256 kB
KernelStack:       32608 kB
PageTables:        31872 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    594200064 kB
Committed_AS:    6665196 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      200428 kB
VmallocChunk:          0 kB
Percpu:           129472 kB
HardwareCorrupted:     0 kB
AnonHugePages:    198656 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      665064 kB
DirectMap2M:     8208384 kB
DirectMap1G:    1180696576 kB
