pgmigrate_success 2260
pgmigrate_fail 0
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 0
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 0
htmm_nr_demoted 0
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 341800
htmm_alloc_nvm 0
MemTotal:       1184205836 kB
MemFree:        1163982628 kB
MemAvailable:   1161983988 kB
Buffers:          165720 kB
Cached:          1015496 kB
SwapCached:            0 kB
Active:           336160 kB
Inactive:        1417848 kB
Active(anon):       2864 kB
Inactive(anon):   576056 kB
Active(file):     333296 kB
Inactive(file):   841792 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:       2097148 kB
SwapFree:        2097148 kB
Dirty:               304 kB
Writeback:             4 kB
AnonPages:        573128 kB
Mapped:           381876 kB
Shmem:              6136 kB
KReclaimable:     369500 kB
Slab:             759720 kB
SReclaimable:     369500 kB
SUnreclaim:       390220 kB
KernelStack:       32144 kB
PageTables:        32684 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    594200064 kB
Committed_AS:    6345364 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      200580 kB
VmallocChunk:          0 kB
Percpu:           123648 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      798184 kB
DirectMap2M:     8075264 kB
DirectMap1G:    1180696576 kB
