pgmigrate_success 118533045
pgmigrate_fail 7455
thp_migration_success 101499
thp_migration_fail 173
thp_migration_split 0
thp_fault_alloc 313266
thp_fault_fallback 32286
thp_fault_fallback_charge 0
thp_collapse_alloc 98
thp_collapse_alloc_failed 2
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 36
thp_split_pmd 215
thp_split_pud 0
thp_zero_page_alloc 4
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 13374320
htmm_nr_demoted 97659536
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 158221590
htmm_alloc_nvm 44594001
MemTotal:       1184205836 kB
MemFree:        1104297440 kB
MemAvailable:   1160883800 kB
Buffers:           10548 kB
Cached:         60371868 kB
SwapCached:            0 kB
Active:            24116 kB
Inactive:       61174044 kB
Active(anon):        404 kB
Inactive(anon):   821460 kB
Active(file):      23712 kB
Inactive(file): 60352584 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 4 kB
Writeback:             0 kB
AnonPages:        812388 kB
Mapped:           139692 kB
Shmem:              6104 kB
KReclaimable:     605368 kB
Slab:            1006844 kB
SReclaimable:     605368 kB
SUnreclaim:       401476 kB
KernelStack:       29136 kB
PageTables:        31748 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592102916 kB
Committed_AS:    6109392 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      197052 kB
VmallocChunk:          0 kB
Percpu:           125440 kB
HardwareCorrupted:     0 kB
AnonHugePages:    141312 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      751080 kB
DirectMap2M:     8122368 kB
DirectMap1G:    1180696576 kB
