pgmigrate_success 44724013
pgmigrate_fail 141658
thp_migration_success 65189
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 71668
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 294
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 2084
thp_split_page_failed 37
thp_deferred_split_page 2106
thp_split_pmd 2153
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 13697035
htmm_nr_demoted 30996751
htmm_nr_sampled 0
htmm_missed_dramread 2084
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 24662775
htmm_alloc_nvm 13387522
MemTotal:       1184205836 kB
MemFree:        1140889828 kB
MemAvailable:   1159795112 kB
Buffers:           11220 kB
Cached:         22753644 kB
SwapCached:            0 kB
Active:           258220 kB
Inactive:       24328172 kB
Active(anon):       2720 kB
Inactive(anon):  1854404 kB
Active(file):     255500 kB
Inactive(file): 22473768 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               252 kB
Writeback:             0 kB
AnonPages:       1814996 kB
Mapped:           627592 kB
Shmem:             41116 kB
KReclaimable:     537268 kB
Slab:             970080 kB
SReclaimable:     537268 kB
SUnreclaim:       432812 kB
KernelStack:       41136 kB
PageTables:        68164 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592102916 kB
Committed_AS:   11656164 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      209592 kB
VmallocChunk:          0 kB
Percpu:           131264 kB
HardwareCorrupted:     0 kB
AnonHugePages:    135168 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      841192 kB
DirectMap2M:     6983680 kB
DirectMap1G:    1181745152 kB
