pgmigrate_success 94887339
pgmigrate_fail 145785
thp_migration_success 141647
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 143315
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 301
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 2084
thp_split_page_failed 37
thp_deferred_split_page 2113
thp_split_pmd 2162
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 23465630
htmm_nr_demoted 71391468
htmm_nr_sampled 0
htmm_missed_dramread 2084
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 61457528
htmm_alloc_nvm 13411074
MemTotal:       1184205836 kB
MemFree:        1140446844 kB
MemAvailable:   1159745736 kB
Buffers:          288312 kB
Cached:         22834392 kB
SwapCached:            0 kB
Active:           550888 kB
Inactive:       24383188 kB
Active(anon):       2476 kB
Inactive(anon):  1844472 kB
Active(file):     548412 kB
Inactive(file): 22538716 kB
Unevictable:          16 kB
Mlocked:              16 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                92 kB
Writeback:             0 kB
AnonPages:       1805380 kB
Mapped:           619184 kB
Shmem:             41112 kB
KReclaimable:     608768 kB
Slab:            1045572 kB
SReclaimable:     608768 kB
SUnreclaim:       436804 kB
KernelStack:       40784 kB
PageTables:        67456 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592102916 kB
Committed_AS:   11600100 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      209248 kB
VmallocChunk:          0 kB
Percpu:           134400 kB
HardwareCorrupted:     0 kB
AnonHugePages:    129024 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      841192 kB
DirectMap2M:     6983680 kB
DirectMap1G:    1181745152 kB
