pgmigrate_success 9112742
pgmigrate_fail 31644
thp_migration_success 6640
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 82028
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 47
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 8
thp_split_pmd 22
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 321333
htmm_nr_demoted 8558838
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 24305946
htmm_alloc_nvm 18349430
MemTotal:       1184205836 kB
MemFree:        1121172872 kB
MemAvailable:   1139630384 kB
Buffers:           18712 kB
Cached:         22280436 kB
SwapCached:            0 kB
Active:         15782632 kB
Inactive:       28562428 kB
Active(anon):    6986796 kB
Inactive(anon): 15071492 kB
Active(file):    8795836 kB
Inactive(file): 13490936 kB
Unevictable:        3088 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               196 kB
Writeback:             0 kB
AnonPages:      22041148 kB
Mapped:           270964 kB
Shmem:             12264 kB
KReclaimable:     526904 kB
Slab:             956660 kB
SReclaimable:     526904 kB
SUnreclaim:       429756 kB
KernelStack:       28976 kB
PageTables:        73588 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592102916 kB
Committed_AS:   38773272 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      199976 kB
VmallocChunk:          0 kB
Percpu:           121856 kB
HardwareCorrupted:     0 kB
AnonHugePages:  21356544 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      851432 kB
DirectMap2M:     8022016 kB
DirectMap1G:    1180696576 kB
