pgmigrate_success 93417540
pgmigrate_fail 6
thp_migration_success 139443
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 115477
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 96
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 24
thp_split_pmd 110
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 14191648
htmm_nr_demoted 79223482
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 54958812
htmm_alloc_nvm 5147645
MemTotal:       1184205836 kB
MemFree:        1141590608 kB
MemAvailable:   1160339928 kB
Buffers:           15064 kB
Cached:         22565016 kB
SwapCached:            0 kB
Active:           118116 kB
Inactive:       23705460 kB
Active(anon):        488 kB
Inactive(anon):  1249424 kB
Active(file):     117628 kB
Inactive(file): 22456036 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:            171200 kB
Writeback:             0 kB
AnonPages:       1236372 kB
Mapped:           432840 kB
Shmem:              6124 kB
KReclaimable:     536736 kB
Slab:             951744 kB
SReclaimable:     536736 kB
SUnreclaim:       415008 kB
KernelStack:       31024 kB
PageTables:        41100 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592102916 kB
Committed_AS:    6440816 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      198872 kB
VmallocChunk:          0 kB
Percpu:           125440 kB
HardwareCorrupted:     0 kB
AnonHugePages:    262144 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      689640 kB
DirectMap2M:     8183808 kB
DirectMap1G:    1180696576 kB
