pgmigrate_success 133729367
pgmigrate_fail 2453
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 19
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 16
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 3
thp_split_pmd 19
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 42397384
htmm_nr_demoted 91331444
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 54881575
htmm_alloc_nvm 37656242
MemTotal:       1184205836 kB
MemFree:        1142205980 kB
MemAvailable:   1160973084 kB
Buffers:           13120 kB
Cached:         22585784 kB
SwapCached:            0 kB
Active:            95712 kB
Inactive:       23257888 kB
Active(anon):        764 kB
Inactive(anon):   760060 kB
Active(file):      94948 kB
Inactive(file): 22497828 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                48 kB
Writeback:             0 kB
AnonPages:        751948 kB
Mapped:           380592 kB
Shmem:              6104 kB
KReclaimable:     534080 kB
Slab:             936468 kB
SReclaimable:     534080 kB
SUnreclaim:       402388 kB
KernelStack:       28592 kB
PageTables:        31204 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592102916 kB
Committed_AS:    5743588 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      196576 kB
VmallocChunk:          0 kB
Percpu:           125888 kB
HardwareCorrupted:     0 kB
AnonHugePages:     53248 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      744936 kB
DirectMap2M:     8128512 kB
DirectMap1G:    1180696576 kB
