pgmigrate_success 151143360
pgmigrate_fail 1209
thp_migration_success 252023
thp_migration_fail 135
thp_migration_split 0
thp_fault_alloc 143290
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 63
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 1
thp_split_page_failed 0
thp_deferred_split_page 26
thp_split_pmd 68
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 42231501
htmm_nr_demoted 108907004
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 74053909
htmm_alloc_nvm 3584
MemTotal:       1184205836 kB
MemFree:        1142116772 kB
MemAvailable:   1160785864 kB
Buffers:           14052 kB
Cached:         22496060 kB
SwapCached:            0 kB
Active:            67152 kB
Inactive:       23263472 kB
Active(anon):      13276 kB
Inactive(anon):   819508 kB
Active(file):      53876 kB
Inactive(file): 22443964 kB
Unevictable:          16 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:            171484 kB
Writeback:             0 kB
AnonPages:        808372 kB
Mapped:           351396 kB
Shmem:             12264 kB
KReclaimable:     527924 kB
Slab:             939584 kB
SReclaimable:     527924 kB
SUnreclaim:       411660 kB
KernelStack:       29248 kB
PageTables:        32732 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592102916 kB
Committed_AS:    6009692 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      200232 kB
VmallocChunk:          0 kB
Percpu:           123200 kB
HardwareCorrupted:     0 kB
AnonHugePages:    122880 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      683496 kB
DirectMap2M:     8189952 kB
DirectMap1G:    1180696576 kB
