pgmigrate_success 15331728
pgmigrate_fail 15957995
thp_migration_success 6313
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 42957
thp_fault_fallback 12715
thp_fault_fallback_charge 0
thp_collapse_alloc 45
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 12
thp_split_pmd 27
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 0
htmm_nr_demoted 13730661
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 18642436
htmm_alloc_nvm 7810091
MemTotal:       177572876 kB
MemFree:        121899760 kB
MemAvailable:   127329004 kB
Buffers:            5912 kB
Cached:          6242968 kB
SwapCached:            0 kB
Active:          5199956 kB
Inactive:       47494952 kB
Active(anon):       1020 kB
Inactive(anon): 46457780 kB
Active(file):    5198936 kB
Inactive(file):  1037172 kB
Unevictable:          16 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                16 kB
Writeback:             0 kB
AnonPages:      46435772 kB
Mapped:           339720 kB
Shmem:             12264 kB
KReclaimable:     517752 kB
Slab:            1013404 kB
SReclaimable:     517752 kB
SUnreclaim:       495652 kB
KernelStack:       29056 kB
PageTables:       133692 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    88786436 kB
Committed_AS:   72949784 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      200104 kB
VmallocChunk:          0 kB
Percpu:           122304 kB
HardwareCorrupted:     0 kB
AnonHugePages:  41795584 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      728552 kB
DirectMap2M:     9193472 kB
DirectMap1G:    173015040 kB
