pgmigrate_success 6521123
pgmigrate_fail 3320124
thp_migration_success 1382
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 21254
thp_fault_fallback 7560
thp_fault_fallback_charge 0
thp_collapse_alloc 45
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 12
thp_split_pmd 27
thp_split_pud 0
thp_zero_page_alloc 1
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 0
htmm_nr_demoted 6196402
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 9086453
htmm_alloc_nvm 5056759
MemTotal:       177572876 kB
MemFree:        173600308 kB
MemAvailable:   173283848 kB
Buffers:           10076 kB
Cached:           362708 kB
SwapCached:            0 kB
Active:            58892 kB
Inactive:        1085508 kB
Active(anon):       1016 kB
Inactive(anon):   782872 kB
Active(file):      57876 kB
Inactive(file):   302636 kB
Unevictable:          16 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 8 kB
Writeback:             0 kB
AnonPages:        763256 kB
Mapped:           339568 kB
Shmem:             12264 kB
KReclaimable:     517220 kB
Slab:             904916 kB
SReclaimable:     517220 kB
SUnreclaim:       387696 kB
KernelStack:       28912 kB
PageTables:        31032 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    88786436 kB
Committed_AS:    5913812 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      200056 kB
VmallocChunk:          0 kB
Percpu:           120960 kB
HardwareCorrupted:     0 kB
AnonHugePages:    100352 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      728552 kB
DirectMap2M:     9193472 kB
DirectMap1G:    173015040 kB
